field_name,field_type,pass,avg_agreement,appears_in_jobs,most_common_outlier
summary.overall_assessment,string,3,0.048450559975489346,16,none
summary.strength_details,array,3,0.3125,16,gpt-oss
summary.leverage_details,array,3,0.3125,16,gpt-oss
summary.best_fit_details,array,3,0.3125,16,gpt-oss
summary.concern_details,array,3,0.3125,16,gpt-oss
summary.probe_details,array,3,0.3125,16,gpt-oss
ext_salary_period,enum,1,0.47058823529411764,17,gpt-oss
ext_salary_currency,enum,1,0.47058823529411764,17,gpt-oss
ext_location_restriction_text,string,1,0.5176298190137248,17,none
red_flags_and_role_quality.scope_creep_score,inference,3,0.5208333333333333,16,qwen
red_flags_and_role_quality.overtime_risk_score,inference,3,0.5208333333333333,16,qwen
tech_culture.work_life_balance_score,inference,3,0.5520833333333333,16,qwen
tech_culture.tech_culture_score,inference,3,0.5520833333333333,16,minimax
red_flags_and_role_quality.overall_red_flag_score,inference,3,0.5625,16,minimax
tech_culture.growth_opportunities_score,inference,3,0.5625,16,qwen
tech_culture_assessment.dev_practices_mentioned,inference,3,0.59375,16,gpt-oss
