job_id,job_title,company,pass1_rate,pass2_rate,pass3_rate,overall_rate
4323400548,Senior Data Engineer,SimpliSafe,0.9444444444444444,1.0,0.717391304347826,0.872
4325829597,Go Anywhere SFTP Data Engineer,Tata Consultancy Services,0.9259259259259259,0.96,0.7608695652173914,0.872
4325839911,AI Data Engineer,Mattoni 1873,0.8518518518518519,0.68,0.5217391304347826,0.696
4325889818,Senior Data Engineer – Commerce Data Pipelines,aKUBE,0.8703703703703703,1.0,0.782608695652174,0.864
4325939213,"Senior Data Engineer (SQL, Python, Snowflake)",Tata Consultancy Services,0.9259259259259259,0.8,0.5652173913043478,0.768
4325939525,Sr. Data Engineer(hands on Palantir exp.),Pacer Group,0.9629629629629629,1.0,0.717391304347826,0.88
4325948158,Data Engineer,Manchester Digital,0.8888888888888888,0.8,0.5652173913043478,0.752
4326005551,Data Engineering USIS,Equifax,0.9259259259259259,1.0,0.717391304347826,0.864
4342313220,Data Engineer (모델링),MUSINSA 무신사,0.8518518518518519,1.0,0.782608695652174,0.856
4342323073,Software & Data Engineer - Palantir Foundry,Ursa Major,0.8888888888888888,0.96,0.6956521739130435,0.832
4342372882,Data Engineer,Wassching,0.8888888888888888,0.64,0.391304347826087,0.656
4342392803,Sr Data Engineer - Onsite,Bio-Techne,0.8703703703703703,0.88,1.0,0.92
4342392804,Sr Data Engineer - Onsite,Bio-Techne,1.0,1.0,0.0,1.0
4342402885,BI - SR Data Engineer,IT4W,0.8333333333333334,0.8,0.5869565217391305,0.736
4342432684,Data Modeler_W2_ Sacramento CA,Chelsoft Solutions Co.,0.8518518518518519,0.6,0.5,0.672
4342522291,Data Architect & Leader,Addison Group,0.9259259259259259,0.76,0.43478260869565216,0.712
4348603218,"(USA) Senior, Data Engineer",VIZIO,0.8148148148148148,0.64,0.5217391304347826,0.672
